S.NO,NAME,ADDRESS,PHONE NO.,MOBILE NO.,EMAIL,WEBSITE
144,Ramacrisna madeva salgaocar higher secondary school margao,"Shree Damodar Educational Campus, G.R. Kare Road, Tansor, Comba, Pincode - 403601",+91  2735157,NIL,NIL,NIL
145,Army public school yol cantt kangra,"Yol Cantt, Kangra,Himachal Pradesh, Pincode - 176052",+91  01892 235269,NIL,NIL,NIL
146,Sainik school kodagu kudligi,"Somwarpet Taluk, Kodagu District, Kudige,, Pincode - 571232",+91  08276 278963,NIL,NIL,NIL
147,Tribune model school chandigarh,"Tribune Colony, 29D, Sector 29, Pincode - 160030",+91  0172 2655078,NIL,NIL,NIL
148,Army public school bathinda cantt bathinda,"Army Public School Bathinda Cantt, Pincode - 151004",+91  0164 2290057,NIL,NIL,NIL
149,Delhi public school dwarka new delhi,"D2 pH, 3, Dwarka Sector-3, Dwarka, Pincode - 110078",+91  011 25074472,NIL,NIL,NIL
150,Sainik school korukonda vizianagaram,"District Vizianagaram, Vizianagaram, Pincode - 535214",+91  8922 246168,NIL,NIL,NIL
151,Sainik school ambikapur ambikapur,"SAINIK SCHOOL AMBIKAPUR VILLAGE – MENDRA KALAN POST – BHITTIKALAN CITY – AMBIKAPUR DIST – SURGUJA, Pincode - 497001",+91  07774 261609,NIL,NIL,NIL
152,Sainik school nagrota jammu and kashmir jammu,"Sainik School Nagrota, Pincode - 181221",+91  0191 2673023,NIL,NIL,NIL
153,Army public school dhaula kuan new delhi,"Ridge Road, Dhaula Kuan, Pincode - 110010",+91  011 25693131,NIL,NIL,NIL
154,Sainik school balachadi jamnagar,"Sainik School Balachadi Rd, Balachadi, Pincode - 361230",+91  02893 246226,NIL,NIL,NIL
155,Army public school kapurthala kapurthala,"Jalandhar Road, Pincode - 144601",+91  01822 221558,NIL,NIL,NIL
156,Army public school bathinda bathinda,"Army Public School Bathinda, Pincode - 151004",+91  0164 2290057,NIL,NIL,NIL
157,Army public school wellington wellington,"Nr Defece Services Staff College, TDK Pillai Rd, Pincode - 643231",+91  0423 2200538,NIL,NIL,NIL
158,Shrimanta shankar academy guwahati,"Girijananda Choudhury Complex  G S Road, Dispur, Pincode - 781006",+91  0361 2267768,NIL,NIL,NIL
159,Army public school patiala patiala,"Army Public School Tarapore Enclave, Sangrur Road, Pincode - 147001",+91  0828 8010227,NIL,NIL,NIL
160,Sainik school kodagu kudchi,"SAINISCHOOLKODAGU  KUDIGE VILLAGE AND POST  SOMWARPET TALUK    KODAGU DIST, Pincode - 571232",+91  08276 278963,NIL,NIL,NIL
161,Dav model school govtof west bengal durgapur,"J.M. SENGUPTA ROAD, B-ZONE, DURGAPUR, PASCHIM BARDHAMAN, Pincode - 713205",+91  0343 2563500,NIL,NIL,NIL
162,Sainik school kazhakootam trivandrum,"Kazhakoottam - Kilimanoor Rd, Kazhakkoottam, Pincode - 695585",+91  0471 2418247,NIL,NIL,NIL
163,Air force school ambala cantt ambala cantt,"Ambala Cantt, Pincode - 133001",+91  0171 2641314,NIL,NIL,NIL
164,Sainik school kalikri chittoor,"Email Id - NIL, Pincode - 517234",+91  8772500270,NIL,NIL,NIL
165,Air force school delhi cant new delhi,"The Air Force School, Arjun Path, Subroto Park, Delhi Cantonment, Pincode - 110010",+91  91 11 25693063,NIL,NIL,NIL
166,Sainik school goalpara assam rangapara,"Rajapara,Goalpara District, Pincode - 783133",+91  03663 287119,NIL,NIL,NIL
167,Sainik school sujanpur tira tira sujanpur,"Sujanpur Tira, Hamirpur, Pincode - 176110",+91  01972  272024,NIL,NIL,NIL
168,Army public school miran sahib jammu,"R/O Near TCP, Kharian Miran Sahib, Pincode - 181101",+91  01923 263992,NIL,NIL,NIL
169,Navy children school kochi,"Naval Base, Pincode - 682004",+91  0484 2874793,NIL,NIL,NIL
170,School of planning and architecture delhi,"4-Block-B, Indraprastha Estate, New Delhi, Delhi, Pincode - 110002",+91 011 2370 2375,NIL,NIL,NIL
171,Greenwood high an internationnal school bangalore,"No.8-14, Chickkawadayarapura, Near Heggondahalli, Gunjur Post, Varthur Sarjapur Road, Bengaluru, Karnataka, Pincode - 560087",+91 80 27822888,+91 7829917657,ro@greenwoodhigh.edu.in,www.greenwoodhigh.edu.in
172,Kidzee madipakkam chennai,"New no 4, old no6, Kannagi street,Madipakkam, Chennai, Tamil Nadu, Pincode - 600091",+91 91 9962900022,+91 9962900033,spramachandran86@gmail.com,http://www.kidzee.com/
173,Chrysalis high bangalore,"Survey No. 219/3 &amp; 219/5, Varthur Main Road, Bengaluru, Karnataka, Pincode - 560087",+91 80 40961312,"+91 8861063811,078990 49871",eumenjoseph@gmail.com,www.chrysalishigh.com/
174,Sri guru hargobind public senior secondary school ludhiana,"Sidhwan Khurd, Ludhiana, India, Pincode - 142022",+91 161 2807053,+91 1612806079,jagtargill@gmail.com,sghps.blogspot.in/
175,Crescent english school madhubani,"Khutauna, Sahuriya, Bihar, Pincode - 847221",+91 621 255014,+91 8961365139,crescent.khutauna@gmail.com,www.crescentenglishschool.in
176,Rose wood school public school saharanpur,"Mandir Rd, Block O, Nanakpura, Shakarpur Khas, New Delhi, Pincode - 110092",+91  488261,+91 9718050129,bmishra@panindia.in,www.rosewood-p.schools.nsw.edu.au
177,Gouthami model school hyderabad,"Email Id - NIL, Pincode - 500018",+91 40 6454 6777,+91 9701166298,chalapathi.davala@gmail.com,NIL
178,Kids heaven darbhanga,"Behind Raghvendra Hospital, Bengali Tola, Laheriasarai, Darbhanga, Bihar, Pincode - 846001",+91 621 4650932,"+91 9204796521,75470 40404",info@kidsheavenschool.org,www.kidsheavenschool.org
179,Intellitots gurgaon,"G Block, Sushant Lok-2, Sector 57, Off Golf Course Extension Road, Gurgaon, Haryana, Pincode - 122003",+91 124 4223860,+91 9990800892,info@intellitots.in,www.intellitots.in
180,Gopabandhu shishu bidhya mandir sunabeda,Pincode - 763001,+91 6853 8763306251,+91 9439253986,chettyr1@gmail.com,"www.gsbm,hpage.in"
181,Footprints play school day care gurgaon,"Gyanshree School, Plot No-3/4,, Noida-Greater Noida Expy, Sector 127, Noida, Uttar Pradesh, Pincode - 122004",+91 124 4210422,+91 8010055055,ashish.aggarwal@footprintseducation.in,NIL
182,Ghilamara town high school north lakhimpur,"No 1 Ghilamara, Gogamukh - Dhakuakhana Rd, Ghilamora, Assam, Pincode - 787053",+91 3752 253467,+91 8486639339,gthss.org@gmail.com,gthss.org
183,Plus 2 jay narayan school mahagama godda,"Email Id - NIL, Pincode - 814154",+91 91 9931866400,+91 9931866400,ajaykr.kumar43@gmail.com,NIL
184,Vijay scghool basukinath,"Email Id - NIL, Pincode - 322098",+91 234 23373467,+91 4574893476,newchapter7732@gmail.com,NIL
