PHONE,COLLEGE NAME,STATE,DISTRICT,MAIL ID,PHONE
263,Sri Ram School of Nursing,Andhra Pradesh,East Godavari,principal.sriram763@yahoo,8912514511
264,Newtons Institute of Engineering,Andhra Pradesh,Guntur,info@newtona1.com,
265,"Nalanda Institute of  Technology, Siddharth Nagar",Andhra Pradesh,Guntur,nalanda_tech@yahoo.co.in,
266,Amara Institute of Engineering & Technology,Andhra Pradesh,Guntur,aietnrt@gmail.com,9652060000
267,Koneru Lakshmyiah College of Engineering,Andhra Pradesh,Guntur,chairman@klce.ac.in,
268,Nalanda Institute of Engineering & Technology,Andhra Pradesh,Guntur,principal@nalandacolleges.com,
269,GUNTUR ENGINEERING COLLEGE,Andhra Pradesh,Guntur,"principalgec@gmail.com,gunturenggcollege@gmail.com",
270,NRI Institute of Technology  visadala Medikonduru Guntur,Andhra Pradesh,Guntur,nriit.guntur@gmail.com,
271,Chaitanya Bharathi Institute of Technology,Andhra Pradesh,Kadapa,info@cbit.edu.in,
272,NIMRA COLLEGE OF ENGINEERING AND TECHNOLOGY,Andhra Pradesh,Krishna,principal_nimra@yahoo.co.,8662882010
273,Nagarjuna School of Nursing,Andhra Pradesh,Krishna,nagschool@gmail.com,
274,NIMRA INSTITUTE OF SCIENCE AND TECHNOLOGY,Andhra Pradesh,Krishna,principal_w3@yahoo.co.in,8662882911
275,"School of Planning and Architecture, Vijayawada",Andhra Pradesh,Krishna,info@spav.ac.in,
276,Nagarjun Hospital Collage of Nursing,Andhra Pradesh,Krishna,nagschool@gmail.com,
277,Balaji School of Nursing,Andhra Pradesh,Nellore,balajinursingschool@yaho,8612366250
278,Murali Krishna School of Nursing,Andhra Pradesh,Nellore,"muralikrishnanlr4@gmail.com,msdgp@yaho",8612322531
279,RICH COLLEGE OF NURSING,Andhra Pradesh,Nellore,orc.coonmnellore@gmail.com,8612310377
280,"MALYADRI SCHOOL OF NURSING, NELLORE",Andhra Pradesh,Nellore,malyadrisonnlr@gmail.com,8616454409
281,Sri Padmavathi School of Nursing,Andhra Pradesh,Nellore,sripadmavathisonnlr@gmail,8612300823
282,"Sri Bhargavi School of Nursing, Nellore",Andhra Pradesh,Nellore,sribhargavison@gmail.com,8612322531
283,Narayan Nursing Institution,Andhra Pradesh,Nellore,narayana_nursing@yahoo.co.in,
284,Bollineni School of Nursing,Andhra Pradesh,Nellore,bollinenicollege@yahpoo.co.in,
285,Dileef School of Nursing,Andhra Pradesh,Nellore,dileef_nursing@yahoo.com,8612329903
286,J.S. College of Nursing.Ongole,Andhra Pradesh,Prakasam,jsconongole@gmail.com,8592235396
287,S.S.N. ENGINEERING COLLEGE,Andhra Pradesh,Prakasam,ssneco@yahoo.com,
288,Sri Venkateswara College of Engineering & Technology,Andhra Pradesh,Srikakulam,principal_svcet@yahoo.com,
289,Visakha Technical Campus,Andhra Pradesh,Visakhapatnam,vietvsp@gmail.com,
290,Visakha  School of Nursing,Andhra Pradesh,Visakhapatnam,visakhasonvskp@gmail.com,8916457115
291,Murli Krishna School of Nursing,Andhra Pradesh,Visakhapatnam,msdgp@yahoo.com,
292,College of Life Sciences  Nursing Krishi Hospital,Andhra Pradesh,Visakhapatnam,clsvizag@gmail.com,8916522881
293,Manisha College of Nursing Krishi Hospital,Andhra Pradesh,Visakhapatnam,manishanursing.vizag@gmai,8912514511
294,Minerva School of Nursing Krishi Hospital,Andhra Pradesh,Visakhapatnam,minervaoffice27@gmail.com,8912514511
295,ST. Lukes School of Nursing,Andhra Pradesh,Visakhapatnam,admin@stlukesindia.org,
296,Academy of Life Sciences Nursing,Andhra Pradesh,Visakhapatnam,principal.als@gmail.com,8916522881
297,Chaitanya College of Pharmacy,Andhra Pradesh,Prakasam,pharmacychaitanya@gmail.c,7799971207
298,Indira Institute of Technology & Sciences,Andhra Pradesh,Prakasam,iitsmarkapur@gmail.com,7799971200
299,Siddhartha School of Nursing,Andhra Pradesh,Visakhapatnam,thallavrao@yahoo.com,
300,Bethany School of Nursing,Andhra Pradesh,Visakhapatnam,bethanyschoolofnursing@gmail.com,
301,Sagardurga School of Nursing,Andhra Pradesh,Visakhapatnam,sagardurgaschool@gmail.co,8801111011
302,"Indian Maritime University, Visakhapatnam Campus (NSDRC)",Andhra Pradesh,Visakhapatnam,itadmin@nsdrc.com,
303,D D R School of Nursing,Andhra Pradesh,Visakhapatnam,ddrschoolofnursing@gmail.,9492533624
304,"INDIAN INSTITUTE OF TECHNOLOGY,GUWAHATI",Assam,Kamrup,"director@iitg.ernet.in ,registrar@iitg.ernet.in",
305,Dr Zakir Husain Institute,Bihar,Bhagalpur,bhagalpur@zhi.org.in,
306,Bhagalpur Industrial Training Institute,Bihar,Bhagalpur,bhagalpur101@gmail.com,
307,Marwari College .,Bihar,Bhagalpur,info@marwaricollegebgp.ac.in,
308,T.N.B. Law College,Bihar,Bhagalpur,principal@tnblawcollegebgp.org,
309,T. N. B. College,Bihar,Bhagalpur,principaltnb@rediffmail.com,
310,"Maulana Azad College Of Engineering & Technology, Patna",Bihar,Patna,contact@macet.net.in,
311,Krishna Public School,Bihar,Patna,public.krishna@gmail.com,
312,Department of Applied Economics & Commerce,Bihar,Patna,info@deptaecpu.in,
313,SCHOOL OF NURSING KURJI HOLY FAMILY HOSPITAL,Bihar,Patna,khfhcollegeofnursing@gmail.com,
314,Netaji Subhash Institute of Technology,Bihar,Patna,info@nsit.in,
315,"Bihar National College, Patna",Bihar,Patna,biharnationalcollege89@gmail.com,
316,"Loyola Industrial School, Patna",Bihar,Patna,loyolaiti@gmail.com,
317,"B. I. T., Patna Center",Bihar,Patna,bitpatna@bitmesra.ac.in,
318,"The Catalyst Academy, Patna",Bihar,Patna,info@tcaindia.com,
319,Raghunath Prasad Sharma Institute Of Technology,Bihar,Patna,info@rpsit.org.in,
320,Central University of Bihar,Bihar,Patna,so1@cub.ac.in,2226536
321,"St. Xavier s College of  Education,Patna",Bihar,Patna,sxcepatna@gmail.com,
322,"ST. MICHAEL S HIGH SCHOOL,DIGHA GHAT",Bihar,Patna,info@stmichaelspatna.edu.in,
323,Bharat Institute of  Aeronautics,Bihar,Patna,bia_patna@sify.com,
324,"National Institute of Fashion Technology,Bihar",Bihar,Patna,director.patna@nift.ac.in,
325,Takshila College of Education,Bihar,Patna,takshila_patna@yahoo.co.in,
326,"St Xavier s College,Patna",Bihar,Patna,contactus@xaviercollegepatna.org,
327,Tapindu Institute of Higher Studies,Bihar,Patna,director@tihspatna,
328,All India Institute of Medical Sciences Patna,Bihar,Patna,admin@aiimspatna.org,
329,Arcade Business College,Bihar,Patna,abcollege.patna@gmail.com,
330,Mirza Galib Teachers Training College,Bihar,Patna,info@mgttc.org,
331,NALANDA OPEN UNIVERSITY,Bihar,Patna,nalopuni@sancharnet.in,
332,Hari Narain Singh Institute of Teachers Education,Bihar,Rohtas,hnsite_sec@rediffmail.com,
333,Sityog Institute of Technology,Bihar,Aurangabad,sityogengg@yahoo.com,6186292401
334,SRI BHAGWAT PRASAD SINGH MEMORIAL B.Ed. COLLEGE,Bihar,Aurangabad,sri_bps_memorial_trust@yahoo.com,
335,Magadh Teachers Training College,Bihar,Aurangabad,info@mttcollege.co.in,
336,S.Sinha College,Bihar,Aurangabad,principal@ssinhacollege.co.in,
337,"COLLEGE OF  AGRICULTURAL ENGINEERING, PUSA",Bihar,Samastipur,info@raupusa.org,
338,Sant Maalik Memorial Institute,Bihar,Gaya,maalik_memorial@rediffmail.com,
339,MAGADH COLLEGE OF EDUCATION,Bihar,Gaya,mcegaya@gmail.com,
340,"Institute of Physiotherapy, Magadh University",Bihar,Gaya,physiomu@gmail.com,
341,Gyan Prakash College of Education,Bihar,Gaya,gpcegaya@gmail.com,
342,Buddha Institute of Technology,Bihar,Gaya,bodhgayabit@gmail.com,
343,Bhubha Institute of Technology,Bihar,Gaya,bodhgayabit@gmail.com,
344,Rashidiya Rani Sagari Teachers Education,Bihar,Gaya,rashidya.rani@rediffmail.com,
345,"ANUGRAH MEMORIAL COLLEGE, GAYA",Bihar,Gaya,principal@amcollegegya.org,
346,"Millat Teachers Training College, Madhubani",Bihar,Madhubani,info.mttccollege@gmail.com,
347,Mahatma Gandhi Shikshak Prashikshan Mahavidyalaya,Bihar,Banka,muktiniketan@rediffmail.com,
348,"Adwaita Mission Training College,Mandar Vidyapeeth",Bihar,Banka,info@adwaitamission.com,
349,"B.N.College of Education, Dhoraiya",Bihar,Banka,bnce08@gmail.com,9955418905
350,CENTRAL INSTITUTE OF PLASTICS ENGINEERING & TECHNOLOGY,Bihar,Vaishali,hazipur@cipet.gov.in,
351,Millia Institute OF Technology,Bihar,Purnea,info@mitpurnea.org.in,
352,Millia Polytechnic,Bihar,Purnea,info@milliapolytechnic.org,
353,Oriental College of Education,Bihar,Darbhanga,equbal@oceindia.com,
354,Azmet Institute of Technology,Bihar,Kishanganj,jhasan.azmet@gmail.com,
355,Khawaja Shahid Hussain  D.EL. ED. Teachers Training College,Bihar,Katihar,kshes@rediffmail.com,
356,"SAINT XAVIER S COLLEGE OF EDUCATION, AMBIKAPUR",Chhattisgarh,Surguja,xavierambikapur@gmail.com,
357,PARWATI INSTITUTE OF TRAINING RESEARCH & MANAGEMENT,Chhattisgarh,Surguja,parwatiinstituteoftraining@rediffmail.co,
358,"SHRI SAI BABA AADARSH MAHAVIDYALAYA, SARGUJA",Chhattisgarh,Surguja,principal@ssbam.co.in,
359,sarswati shiksha mahavidyalaya,Chhattisgarh,Surguja,ssmvambikapur@yahoo.co.in,
360,Swami Shri Swaroopanand Saraswati Mahavidyalaya,Chhattisgarh,Durg,ssiehudco@gmail.com,7882241600
361,Uday College,Chhattisgarh,Durg,udaycollege@yahoo.co.in,
362,"Bhilai College of Information Technology, Bhilai",Chhattisgarh,Durg,bit@bitdurg.ac.in,
363,Aryavart Shiksha Mahavidyalaya,Chhattisgarh,Durg,aryavartshikshamahavidyalaya@gmail.co,
364,Shri Shankaracharya Institute of technology Management,Chhattisgarh,Durg,ssgi@ssgi.edu.in,
365,Shri Shankaracharya Group of Institution,Chhattisgarh,Durg,ssgi@ssgi.edu.in,7882291605
366,"Khalsa Education Societys, Khalsa College",Chhattisgarh,Durg,khalsa@gmail.com,
367,Chhattisgarh Nursing College,Chhattisgarh,Durg,chhattisgarh91nursingcoll,2272050
368,Bhilai Maitri College,Chhattisgarh,Durg,info@bhilaimaitricollege.com,
369,"M. J. College, Bhilai",Chhattisgarh,Durg,info@mjcit.org,
370,"Chattisgarh Engineering College, Durg",Chhattisgarh,Durg,cecdurg@gmail.com,
371,"bhilai institute of technology, durg",Chhattisgarh,Durg,durgbit@gmail.com,
372,Raipur Institute of Technology,Chhattisgarh,Raipur,registrar@rit.edu.in,7713208842
373,Spectrum College of Education,Chhattisgarh,Raipur,info@spectrumcollege.in,
374,Pt. Harishankar Shukla Smriti college,Chhattisgarh,Raipur,harishankar_shukla95@yahoo.co.in,
375,Columbia College of Nursing,Chhattisgarh,Raipur,info@cietraipur.ac.in,
376,Shri Rawatpura  Sarkar Institute of Technology,Chhattisgarh,Raipur,info@sri.ac.in,
377,Columbia Institute of Engineering And Technology,Chhattisgarh,Raipur,"registrar@cietraipur.ac.in,info@cietraipu",
378,"Gracious college of Nursing, Belbhatha",Chhattisgarh,Raipur,graciouscollege@gmail.com,
379,BHILAI INSTITUTE OF TECHNOLOGY,Chhattisgarh,Raipur,bit@bitdurg.ac.in,
380,Christ College Jagdalpur,Chhattisgarh,Baster,principal_christcollege@yahoo.in,
381,Chattisgarh Dental College & Research Institute,Chhattisgarh,Rajnandgaon,cdcrirjn@gmail.com,
382,Central India College of Nursing,Chhattisgarh,Rajnandgaon,cicotrj@yahoo.in,
383,Dr. C. V. RAMAN UNIVERSITY,Chhattisgarh,Bilaspur,info.cvru@yahoo.com,
384,"Institute of Technology, Guru Ghashi Das University, Bilaspur",Chhattisgarh,Bilaspur,registrar@ggu.ac.in,
385,CHHATRAPATI SHIVAJI INSTITUTE OF TECHNOLOGY - DURG,Chhattisgarh,Durg,info@csitdurg.in,7882320884
386,"SAINT HARKEWAL SHIKSHA MAHAVIDAYALAYA, AMBIKAPUR C.G.",Chhattisgarh,Surguja,principal31shsm@gmail.com,7774231833
387,Ayush College of Education,Chhattisgarh,Bilaspur,admin@ayushcollege.co.in,
388,J.E.S College,Chhattisgarh,Bilaspur,info@jescollegeofeducation.com,
389,D.P. Vipra College of Education,Chhattisgarh,Bilaspur,dpvce_bilaspur@yahoo.co.in,
390,"Department of Education, Guru Ghasidas university",Chhattisgarh,Bilaspur,registrar@ggu.ac.in,
391,"Jagadguru Shankaracharya College of Education, Bhilai",Chhattisgarh,bhilai,jgsce@rediffmail.com,
392,"M.J. COLLEGE, Bhilai",Chhattisgarh,bhilai,info@mjcit.org,
393,Shri Shankaracharya Mahavidyalaya,Chhattisgarh,bhilai,ssmbhilai@hotmail.com,
394,Prism School of Education,Chhattisgarh,bhilai,rkgupta30@hotmail.com,
395,G.D. Rungta College of Science & Technology,Chhattisgarh,bhilai,info@rungta.ac.in,
396,R.S.R Rungta College of Engineering & Technology,Chhattisgarh,bhilai,rcet@rungta.ac.in,7886666666
397,Disha College,Chhattisgarh,bhilai,info@dishamail.com,
398,SHRI SHANKRACHARYA ENGINEERING COLLEGE,Chhattisgarh,bhilai,ssecbhilai@gmail.com,
399,Rungta College of EngineeringTechnology,Chhattisgarh,bhilai,rcet@rungta.ac.in,7886666666
400,Rahod education society,Chhattisgarh,Janjgir-Champa,info@resrahod.com,
401,Utkarsh College of Education,Chhattisgarh,Janjgir-Champa,mrrc01@rediffmail.com,
402,Pandit Harishankar College,Chhattisgarh,Janjgir-Champa,pandeyji.1009@rediffmail.com,
403,Jagrani Devi Siksha Mahavidyalaya,Chhattisgarh,Janjgir-Champa,jrd.cllege@yahoo.co.in,
404,Gyanodaya College of Education,Chhattisgarh,Janjgir-Champa,dist.janjgir-champanfo@gyanoday.com,
405,KONARK COLLEGE OF EDUCATION,Chhattisgarh,Janjgir-Champa,gaurav.goyal@gmail.com,
406,Gyan Roshni Lok Kalyan Sanstha,Chhattisgarh,Janjgir-Champa,"akhileshkatakwar@rediffmail.com,mail@gyanroshni.com",
407,Viswa Bharathi Institute Konta,Chhattisgarh,Dante Wada,link_drrakesh@rediffmail.com,
408,Hasdeo education  college,Chhattisgarh,Korba,des.korba@gmail.com,9425519924
409,OP Jindal Institute of Technology(OPJIT),Chhattisgarh,Raigarh,registrar@opjit.edu.in,304000
410,College of Vocational studies,Delhi,Central Delhi,principal.ij@cvs.du.ac.in,
411,Shyamlal college,Delhi,East Delhi,principal@shyamlal.du.ac.in,
412,GOVINDAM BUSINESS SCHOOL,Delhi,East Delhi,info@govindam.org,
413,Hans Raj College,Delhi,New Delhi,"principal_hrc@yahoo.com,principal@hansrajcollege.co.in",
414,ATM Global business School,Delhi,New Delhi,dg@atm.edu.in,
415,All India Institute of Medical Sciences,Delhi,New Delhi,reg@aiims.ac.in,
416,GURU GOBIND SINGH INDRAPRASTHA UNIVERSITY,Delhi,New Delhi,info@ipu.ac.in,
417,The Institution of Electronics & Telecommunication Engineers,Delhi,New Delhi,president@iete.org,
418,Banarsidas Chandiwala Institute of Information Technology,Delhi,New Delhi,director@bciit.ac.in,
419,"Institute of Hotel Management, Pusa",Delhi,New Delhi,ihmpusa@rediffmail.com,
420,Jamia Millia Islamia University,Delhi,New Delhi,mranjan@jmi.ac.in,
421,HINDU  COLLEGE  DELHI UNIVERSITY,Delhi,North Delhi,"principal@hinducollege.org,hinducol@del3.vsnl.net.in",
422,"DELHI TECHNOLOGICAL UNIVERSITY, Delhi",Delhi,North Delhi,info@dce.edu,
423,Pt. Deendayal Upadhyaya Institute for Physically Handicapped,Delhi,North Delhi,diriph@nic.in,
424,University Of Delhi,Delhi,North Delhi,registrar@du.ac.in,
425,"DELHI TECHNOLOGICAL UNIVERSITY (formerly DELHI COLLEGE OF ENGINEERING),Delhi",Delhi,North West Delhi,info@dce.edu,1127871018
426,Maharaja Agrasen Institute of Technology,Delhi,North West Delhi,nandkgarg@yahoo.com,
427,Keshav Mahavidyalaya,Delhi,North West Delhi,principal@keshav.du.ac.in,
428,"Jagannath International Management School,New Delhi",Delhi,South Delhi,admission@jagannath.org,
429,"NATIONAL INSTITUTE OF FASHION TECHNOLOGY,NEW DELHI",Delhi,South Delhi,nift.ho@nift.ac.in,
430,P.G.D.A.V. College,Delhi,South Delhi,info@pgdavevening.in,
431,College of Professional Courses,Delhi,South Delhi,info@cpceduworld.com,
432,jamia hamdard,Delhi,South Delhi,firdouswani@jamiahamdard.ac.in,
433,"INDIAN INSTITUTE OF TECHNOLOGY, DELHI",Delhi,South Delhi,webmaster@admin.iitd.ac.in,
434,Atma Ram Sanatan Dharma College,Delhi,South West Delhi,principal.arsdcollege@gmail.com,
435,AMITY SCHOOL OF ENGINEERING & TECHNOLOGY,Delhi,South West Delhi,ragarwal@amity.edu,
436,Shri Ram College of Commerce,Delhi,West Delhi,principal@srcc.edu,
437,Rukmini Devi Institute of Advanced Studies,Delhi,West Delhi,admin@rdias.ac.in,
438,Gitarattan International Business School,Delhi,West Delhi,gibs@gitarattan.edu.in,
439,Indira Ghandi Institute of Physical Education and Sports Sciences,Delhi,West Delhi,igipess.delhiuniversity@gmail.com,
440,Dhirubhai Ambani Institute of Information and Communication Technology,Gujarat,Gandhinagar,info@daiict.ac.in,
441,Geeta Engineering College,Haryana,Panipat,cao@geetainstitutes.com,9996623011
442,D.R.COLLEGE OF ENGG & TECH,Haryana,Panipat,drcenggpanipat@kuk.ac.in,
443,"Shri Ram Polytechnic,Panipat",Haryana,Panipat,info@srpolytech.com,9996107220
444,Samalkha Group Of Institutions,Haryana,Panipat,info@sgi.ac.in,
445,Panipat Institute of Engineering &Technology,Haryana,Panipat,info@piet.co.in,
446,GALAXY GLOBAL EDUCATIONAL TRUST s GROUP OF INSTITUTIONS,Haryana,Ambala,info@galaxyglobaledu.com,
447,Shree Ram Mulkh Institute of Engineering & Technology,Haryana,Ambala,srmiet@hotmail.com,
448,Maharishi Markandeshwar University,Haryana,Ambala,info@mmumullana.org,
449,ICL Institute of Diploma & Engineering,Haryana,Ambala,directorgen@iclhitech.com,
450,JAI POLYTECHNIC,Haryana,Ambala,mail@JAIGroup.in,
451,Emax Group of Institutions,Haryana,Ambala,info@emaxinstitutes.com,
452,Shree Birkha Ram College of Education,Haryana,Ambala,srmiet@hotmail.com,
453,G.D. Polytechnic Bhuna,Haryana,Fatehabad,info@gdcollege.org,
454,MM Polytechnic,Haryana,Fatehabad,mmppoly@hry.nic.in,
455,Sat Kabir Institute of Technology & Management,Haryana,Jhajjar,skitm@rediffmail.com,9991187052
456,Gyan Bharti College of Education,Haryana,Karnal,mail@gyanbharticollege.com,
457,DOON VALLEY INSTITUTE OF ENGINEERING & TECHNOLOGY,Haryana,Karnal,info@doonvalley.org,
458,Karnal Institute of Polytechnic,Haryana,Karnal,scholarship@kitmkarnal.co,9215345200
459,Greenwood College of Education,Haryana,Karnal,info@greenwoodinstitutes.com,
460,RASHOBA COLLEGE OF EDUCATION,Haryana,Sirsa,rashobacollege@yahoo.com,
461,Bhiwani Institute of Technology & Sciences,Haryana,Bhiwani,info@bitsbhiwaniindia.org,1664215925
462,BITS College of Polytechnic,Haryana,Bhiwani,info@bitsbhiwaniindia.org,
463,Gurgaon Institute of Technology & Management,Haryana,Gurgaon,info@gitm.ac.in,
464,ITM University.,Haryana,Gurgaon,daulet@itmindia.edu,
465,BM College of Technology & Management,Haryana,Gurgaon,"accounts.technology@bmcollege.ac.in ,info@bmcollege.ac.in",
466,GLOBAL INSTITUTE OF TECHNOLOGY & MANAGEMENT,Haryana,Gurgaon,info@gitmgurgaon.com,
467,World College of Technology and Management,Haryana,Gurgaon,admin@wctmgurgaon.com,
468,Amity University Haryana,Haryana,Gurgaon,info@ggn.amity.edu,
469,Jind Polytechnic College,Haryana,Jind,jpc.jind@gmail.com,9996007595
470,Jai Bharat College Education,Haryana,Jind,mail@jbcoeducation.org,
471,Ram Narayan Institute of Education,Haryana,Jind,contactus@rnesindia.org,
472,J.B.M College of Education,Haryana,Jind,info@jbmcoe.com,
473,Adarsh Polytechnic,Haryana,Jind,adarshcollegeedu@rediffma,9215139636
474,NIT Kurukshetra,Haryana,Kurukshetra,registrar@nitkkr.ac.in,
475,Mahabir College Of Education For Women,Haryana,Kurukshetra,mahabircoe1@indiatimes.com,
476,Ashtvinayak Institute of Technology,Haryana,Kurukshetra,ragarwal@amity.edu,9991922233
477,Technology education & research integrated institutions,Haryana,Kurukshetra,info@terii.in,
478,Adarsh College Of Education,Haryana,Kurukshetra,info@adarshcoe.com,
479,Ladwa College of Education,Haryana,Kurukshetra,ladwacollegeofeducation@yahoo.in,
480,Dr.B R AMBEDKAR COLLEGE OF EDUCATION,Haryana,Kurukshetra,info@brambedkar.in,
481,"Sardar Kewal Singh Polytechnic, Kirmach",Haryana,Kurukshetra,sksmetkkr@gmail.com,
482,Kurukshetra University,Haryana,Kurukshetra,registrarkuk@gmail.com,
483,Ch. Matu Ram College of Education,Haryana,Kurukshetra,cmrcoe2009@yahoo.com,
484,Saraswati College of  Education.,Haryana,Mohindergarh,info@saraswaticollege.com,
485,ICL Institute of Technical Education,Haryana,Ambala,dir.bd@iclhitech.com,8602002229
486,ICL Institute of EngineeringTechnology,Haryana,Ambala,dir.bd@iclhitech.com,8602002229
487,Triupati College of Education,Haryana,Fatehabad,tirupatiedu@rediffmail.com,44124
488,"Delhi College of Technology & Management, Palwal",Haryana,Palwal,info@dctm.edu.in,
489,NGF College of Engineering & Technology,Haryana,Palwal,info@ngfcet.in,9416066717
490,Satya College of Engineering & Technology,Haryana,Palwal,info@satyaedu.org,
491,Mata Raj Kaur Institute Of Engineering & Technology,Haryana,Rewari,"admin@mrk.ac.in, registr",9315244112
492,National Institute of Food Technology Entrepreneurship and Management,Haryana,Sonipat,admission.niftem@gmail.com,
493,Modern College of education  .,Haryana,Sonipat,emailsaurabh@haoo.co.in,
494,Royal Institute of Management & Technology,Haryana,Sonipat,rimtgohana@gmail.com,
495,Delhi Institute of Technology and Management,Haryana,Sonipat,info@dctm.edu.in,
496,P.M. Polytechnic,Haryana,Sonipat,info@pmkami.com,
497,INTERNATIONAL INSTITUTE OF TECHNOLOGY & BUSINESS,Haryana,Sonipat,2008gres@gmail.com,
498,Gateway Institute of Engineering &Technology,Haryana,Sonipat,GIETSONIPAT@GMAIL.COM,9728100231
499,Bhagat Phool Singh Mahila Vishwavidyalaya,Haryana,Sonipat,enquiry@bpswomenuniversity.ac.in,
500,"Bharat Institute of Polytechnic, Sonepat",Haryana,Sonipat,bits.sonepat@gmail.com,
501,Bharat Institute of Technology Sonipat,Haryana,Sonipat,bits.sonepat@gmail.com,
502,"Shri Ram Memorial College of Education, BIDHLAN",Haryana,Sonipat,info@srmesnp.com,
503,"D.B.M College of Education, Sonepat",Haryana,Sonipat,"info@dbmcollege.gmail.com,info@dbmcollege.com",
504,"JAWAHARLAL NEHRU COLLEGE OF EDUCATION, Gohana",Haryana,Sonipat,"jlnc@yahoo.co.in,jlngohana@gmail.com",
505,Mukhi College of Education,Haryana,Sonipat,mukhicollege@gmail.com,
506,MRM College of Education Sonipat,Haryana,Sonipat,info@mrmcollege.in,
507,DCS College of education,Haryana,Sonipat,dcseducation@yahoo.co.in,
508,DELHI INSTITUTE OF TECHNOLOGY MANAGEMENT AND RESEACH,Haryana,Faridabad,ditmr.fbd@gmail.com,
509,FACULTY OF ENGINEERING AND TECHNOLOGY(FET),Haryana,Faridabad,webmaster@fet.edu.jo,
510,Bimla Devi Educational Societys Group of Institution,Haryana,Faridabad,director@jbcollege.in,1292401006
511,"National Power Training Institute, Faridabad",Haryana,Faridabad,akmalik@npti.in,
512,Ambika College of Education,Haryana,Hisar,ambikacoe@gmail.com,
513,City College of Education,Haryana,Hisar,ccoeduhisar@gmail.com,
514,Arya College of Education,Haryana,Hisar,aryacollegeharyana@gmail.com,
515,C.L. College of Education,Haryana,Mahendragarh,clcennl_001@yahoo.co.in,
516,B.R. College of Education,Haryana,Mahendragarh,brcollegeofeducation07@gmail.com,
517,Yaduvanshi College/Institute Of  Education,Haryana,Mahendragarh,yaduvanshigroups@rediffmail.com,
518,Modern College of Education,Haryana,Mahendragarh,moderngroupedu@gmail.com,
519,sarswati college of education .,Haryana,Mahendragarh,askus@mses.info,
520,Rao Lal Singh College of Education,Haryana,Mahendragarh,rls.principal@gmail.com,
521,Aravali College of Education,Haryana,Mahendragarh,aravalikarota@gmail.com,
522,Swami Devi Dayal Institute of Engineering,Haryana,Panchkula,"admission@sddgpi.com,tpc.sddiet@gmai",
523,Swami Devi Dyal College of Education.,Haryana,Panchkula,sddce_panchkula@yahoo.com,
524,"Indian Institute of Management,Rohtak",Haryana,Rohtak,pgpadmission@iimrohtak.ac.in,
525,S S M College of Education,Haryana,Rohtak,info@ssmcollege.info,
526,Yash College of Education,Haryana,Rohtak,info@yashcollege.in,
527,Vaish College,Haryana,Rohtak,veertk@hry.nic.in,
528,Hari om shiv om college of education,Haryana,Yamunanagar,info.hariomshivom@gmail.com,
529,Shree ganesh polytechnic,Haryana,Yamunanagar,ganpatibilaspur@gmail.com,1735306000
530,Swami Vivekanand College of Education.,Haryana,Yamunanagar,swamivivekanandedu@yahoo.in,
531,SHRI BALAJI POLYTECHNIC,Haryana,Yamunanagar,balajipolytechnic@yahoo.com,
532,Tagore College of Education  .,Haryana,Mohindergarh,info@tagoreinstitutions.org,
533,JKP polytechnic,Haryana,Sonipat,info@jkppolytechnic.com,8059000677
534,Bhartiya  College Of  Education,Haryana,Mahendragarh,bhartiyabed@gmail.com,9416348329
535,Ganpati Polytechnic for Engineering,Haryana,Yamunanagar,gpe.ganpati@gmail.com,9315322288
536,Baba Jai Ram Dass College of Education,Haryana,Mohindergarh,secretarybjrd@gmail.com,
537,Akash Institute of Technology,Haryana,Mohindergarh,"akashpolytechnickanina@gmail.com,akashkanina@gmail.com",
538,Delhi Technical Campus,Haryana,Jhajjar,info@dtcmail.in,
539,Himachal Pradesh University Shimla,Himachal Pradesh,Shimla,gad.hpu@gmail.com,
540,SIRDA Institute of Engineering Technology,Himachal Pradesh,Mandi,sirda.edu@gmail.com,
541,National Institute of Technology .,Himachal Pradesh,Hamirpur.,director@nith.ac.in,
542,"Dev Bhumy Group of Institutes, Una",Himachal Pradesh,Una,dbet.edu@gmail.com,8894292236
543,Vishva Bharti College of Education,Jammu,Jammu Kashmir,vbce.principal@gmail.com,
544,University of Jammu,Jammu,Jammu Kashmir,registrar@cujammu.ac.in,
545,Ramisht  College of Education,Jammu,Kathua,ramishtcollegebasohli@rediffmail.com,
546,Lake City College of Education,Jammu,SRINAGAR,anwar_lakecity@yahoo.com,
547,Sai Shyam College of Education,Jammu,Jammu,contact@saishyameducationalsociety.co,
548,Gandhi Memorial College of Education,Jammu,Jammu,"gmcehesk@gmail.com,gmcehesk@rediffmail.com",
549,Guru Nanak College of Education,Jammu,Jammu,info@sgnet.co.in,
550,B.N College of Education,Jammu,Jammu,info@bneducationaltrust.org,
551,Taawish College of Education,Jammu,Jammu,aditya@taawish.com,
552,Hill People College of Education and Training,Jammu,Jammu,hillpeoplecollegeofeducation@gmail.com,
553,"Kalra College of Education,Udhampur",Jammu,Udhampur,kalrabed@gmail.com,
554,Garden City College,Karnataka,Bangalore,gcc@gardencitycollege.edu,
555,Sambhram Institute of Technology,Karnataka,Bangalore,saitprincipal@gmail.com,
556,Sri Krishna Institute of Technology,Karnataka,Bangalore,skit1princi@gmail.com,
557,ACHARYAS BANGALORE B-SCHOOL,Karnataka,Bangalore,admissions@acharyabbs.ac.in,
558,RR Institute,Karnataka,Bangalore,contact@rrinstitutions.com,
